INFO 2025-11-25 15:45:18,059 autoreload Watching for file changes with StatReloader
DEBUG 2025-11-25 15:45:18,061 autoreload Waiting for apps ready_event.
DEBUG 2025-11-25 15:45:19,212 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-11-25 15:45:19,430 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\allauth\templates with glob **/*.
DEBUG 2025-11-25 15:45:19,431 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\guardian\templates with glob **/*.
DEBUG 2025-11-25 15:45:19,432 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\crispy_bootstrap5\templates with glob **/*.
DEBUG 2025-11-25 15:45:19,432 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\frontend\templates with glob **/*.
DEBUG 2025-11-25 15:45:19,433 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\ckeditor\templates with glob **/*.
DEBUG 2025-11-25 15:45:19,433 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\templates with glob **/*.
DEBUG 2025-11-25 15:45:19,434 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\locale with glob **/*.mo.
DEBUG 2025-11-25 15:45:19,434 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\guardian\locale with glob **/*.mo.
DEBUG 2025-11-25 15:45:19,436 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\allauth\locale with glob **/*.mo.
DEBUG 2025-11-25 15:45:19,437 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\allauth\account\locale with glob **/*.mo.
DEBUG 2025-11-25 15:45:19,438 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\allauth\socialaccount\locale with glob **/*.mo.
DEBUG 2025-11-25 15:45:19,438 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\crispy_forms\locale with glob **/*.mo.
DEBUG 2025-11-25 15:45:19,439 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\crispy_bootstrap5\locale with glob **/*.mo.
DEBUG 2025-11-25 15:45:19,439 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\widget_tweaks\locale with glob **/*.mo.
DEBUG 2025-11-25 15:45:19,440 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\ckeditor\locale with glob **/*.mo.
DEBUG 2025-11-25 15:45:19,441 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\tenants\locale with glob **/*.mo.
DEBUG 2025-11-25 15:45:19,442 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\subscriptions\locale with glob **/*.mo.
DEBUG 2025-11-25 15:45:19,442 autoreload Watching dir C:\Users\Medserv Africa\schoolsaas\superadmin\locale with glob **/*.mo.
